barcode,订单,在途库存,仓库
7000001671,RD201808240011,972,0001
8935024143360,RD201809140069,2904,0001
8935024143360,RD201809140070,3312,0001
8935024143360,RD201809140072,1944,0001
8935024143360,RD201809140073,3312,0001
8935024143360,RD201809140076,2616,0001
B4554555,RD201809130013,12,0001
B4554555,RD201809130014,11,0001
B4554555,RD201809130015,111,0001
B4554555,RD201809130022,100,0001
6971188160029,RD201810150218,1637,0001
B4554555,RD201810110265,5,0001
B4554555,RD201810110272,10,0001
ceshi002,RD201809280051,23,CK2018092630454
ceshi002,RD201809280052,20,CK2018092630454
6954470901937,RD201810150277,3030,0001
6920883089289,RD201809280187,5500,0001
6922726985109,RD201810030009,960,0001
6932003000401,RD201810120129,9,0001
TM201608036792,RD201810100146,7731,0001
WMS092802,RD201809280065,112,CK2018092630454
WMS092802,RD201809280066,112,CK2018092630454
WMS092802,RD201809280067,321,CK2018092630454
WMS092802,RD201810090067,11,CK2018092630454
SQK170803916244,RD201810220266,10,0001
6971246199565,RD201810170182,3456,0001
ceshi002,RD201810200015,29,0001
6948852958725,RD201810190164,1,0001
6922726983976,RD201810190270,96,0001
6958350501118,RD201810180020,900,0001
6970887891029,RD201810300067,1002,0001
ceshi002,RD201810300184,14,0001
ZKM102303,RD201811020030,90,CK2018092630454
6936000902720,RD201810270117,4800,0001
3614271280275,RD201811050102,50,0001
6941994000581,RD201811070044,816,0001
8809503231056,RD201811100044,40,0001
8809503231056,RD201811100048,9920,0001
8809503231056,RD201811100049,1880,0001
8809503231056,RD201811100050,6080,0001
SQK170803911232,RD201811110086,4,0001
803934765084,RD201811130068,7,0001
6903096172252,RD201811140123,4000,0001
00887231461264,RD201811140126,18,0001
6917751431110,RD201811160077,840,0001
6971246192016,RD201811160188,5000,0001
ETK3147758030297,RD201811190011,732,0001
L265,RD201811170021,400,0001
6922726983976,RD201811180017,864,0001
6922726983976,RD201811190043,960,0001
6956466402114,RD201811200018,640,0001
6956466402114,RD201811200022,2560,0001
6950610211294,RD201811200033,1000,0001
6971246190142,RD201811200105,5000,0001
6971246199633,RD201811200103,500,0001
6937702919719,RD201811200025,2,0001
6940090505716,RD201811200126,2226,0001
6940090505716,RD201811200127,1176,0001
6940090505716,RD201811200128,1176,0001
6940090505938,RD201811200108,1560,0001
6940090505938,RD201811200109,264,0001
6940090505938,RD201811200110,900,0001
6940090505938,RD201811200111,1632,0001
6948480021570,RD201811200083,200,0001
YJBOX000009,RD201811210078,20000,0001
YJBOX000010,RD201811200064,380,0001
