orderId,sku
RD201808240011,7000001671
RD201809130013,B4554555
RD201809130013,cs001
RD201809130014,B4554555
RD201809130014,cs001
RD201809130015,B4554555
RD201809130015,cs001
RD201809130022,B4554555
RD201809140069,8935024143360
RD201809140070,8935024143360
RD201809140072,8935024143360
RD201809140073,8935024143360
RD201809140076,8935024143360
RD201809280051,6957905001394
RD201809280051,ceshi002
RD201809280052,6957905001394
RD201809280052,ceshi002
RD201809280065,WMS092801
RD201809280065,WMS092802
RD201809280066,WMS092801
RD201809280066,WMS092802
RD201809280067,WMS092801
RD201809280067,WMS092802
RD201809280187,6920883089289
RD201810030009,6922726985109
RD201810030009,6933918902873
RD201810090067,WMS092801
RD201810090067,WMS092802
RD201810100146,TM201608036792
RD201810110265,B4554555
RD201810110272,B4554555
RD201810110272,cs001
RD201810120129,6932003000401
RD201810150218,6971188160029
RD201810150277,6954470901937
RD201810170182,6971246192450
RD201810170182,6971246194669
RD201810170182,6971246199565
RD201810180020,6958350501118
RD201810180020,6958350501279
RD201810190164,6948852958725
RD201810190270,6922726983976
RD201810200015,ceshi002
RD201810220266,SQK170803852631
RD201810220266,SQK170803852642
RD201810220266,SQK170803852643
RD201810220266,SQK170803852644
RD201810220266,SQK170803872531
RD201810220266,SQK170803872542
RD201810220266,SQK170803872543
RD201810220266,SQK170803872544
RD201810220266,SQK170803911231
RD201810220266,SQK170803911242
RD201810220266,SQK170803911243
RD201810220266,SQK170803911244
RD201810220266,SQK170803916231
RD201810220266,SQK170803916242
RD201810220266,SQK170803916243
RD201810220266,SQK170803916244
RD201810270117,6936000902720
RD201810300067,6970887890497
RD201810300067,6970887890510
RD201810300067,6970887891029
RD201810300184,ceshi002
RD201811020030,ZKM102301
RD201811020030,ZKM102302
RD201811020030,ZKM102303
RD201811050102,3365440198043
RD201811050102,3365440237612
RD201811050102,3365440269774
RD201811050102,3365440332058
RD201811050102,3365440332126
RD201811050102,3365440562141
RD201811050102,3365440595477
RD201811050102,3365440616592
RD201811050102,3365440616752
RD201811050102,3614271280268
RD201811050102,3614271280275
RD201811050102,3614271332769
RD201811070044,6941994000581
RD201811070044,6941994000789
RD201811100044,8809503231056
RD201811100048,8809503231049
RD201811100048,8809503231056
RD201811100049,8809503231049
RD201811100049,8809503231056
RD201811100050,8809503231049
